ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,2445.257822963456,b4P,0.05775775775775776,,19
Fe II,2446.019997825331,c4F,0.16459016393442624,,21
Fe II,2447.2152721194398,a4H,0.257516339869281,,8
Fe II,2447.5173414521664,c4P,0.45230263157894735,,22
Fe II,2448.852648003278,c4P,1.0,,22
Fe II,2450.471019677604,a4F,0.10413223140495868,,6
Fe II,2451.8443351914875,a4F,0.171900826446281,,6
Fe II,2453.487712894203,c4F,0.20655737704918034,,21
Fe II,2454.7239971357594,z4D*,0.020847058823529413,,26
Fe II,2456.199336454615,c4F,0.2537704918032787,,21
Fe II,2456.4573958194587,z4F*,0.01872916666666667,,27
Fe II,2457.7096839540136,c4P,0.625,,22
Fe II,2457.848715948908,c4P,0.6677631578947368,,22
Fe II,2458.325825752709,z4D*,0.0124,,26
Fe II,2459.527102276203,a4G,0.022575107296137337,,7
Fe II,2460.7623867133907,c4F,0.27737704918032785,,21
Fe II,2461.1814832343775,z4F*,0.13145833333333334,,27
Fe II,2463.06391689486,z4F*,0.013541666666666667,,27
Fe II,2463.4900150837634,c4F,1.0,,21
Fe II,2473.359292168296,z4F*,0.09083333333333334,,27
Fe II,2473.654360330784,c4P,0.46710526315789475,,22
Fe II,2474.205487657255,c4P,0.14736842105263157,,22
Fe II,2475.208719475793,a4F,0.08429752066115702,,6
Fe II,2475.8658713548975,z4F*,0.052083333333333336,,27
Fe II,2476.2889691525684,z4F*,0.064375,,27
Fe II,2477.428232538134,a4F,0.34545454545454546,,6
Fe II,2482.8674910079394,a4H,0.272875816993464,,8
Fe II,2483.408616294324,a4G,0.02819742489270386,,7
Fe II,2483.415617915507,d2G,1.0,,0
Fe II,2483.618664930987,z4D*,0.014635294117647059,,26
Fe II,2484.9469725548192,a4F,1.0,,6
Fe II,2485.19703047651,z4D*,0.04588235294117647,,26
Fe II,2485.76016092841,c4F,0.5737704918032787,,21
Fe II,2485.8251759905556,a4F,0.12231404958677686,,6
Fe II,2487.6395964313165,c4F,0.179672131147541,,21
Fe II,2490.2361984252166,a4H,0.20326797385620915,,8
Fe II,2493.937057045128,a4H,0.296078431372549,,8
Fe II,2494.012074457041,a4H,1.0,,8
Fe II,2494.6332186390196,z4D*,0.019152941176470588,,26
Fe II,2499.6493837458743,a4H,0.24836601307189543,,8
Fe II,2504.079413795742,a4G,0.026738197424892703,,7
Fe II,2505.9708538919517,a4F,0.25950413223140495,,6
Fe II,2506.849058292869,a4G,0.023948497854077253,,7
Fe II,2507.552221981656,c4F,0.28885245901639345,,21
Fe II,2508.3534085197803,z6D*,0.11531531531531532,,29
Fe II,2508.442429248255,z6D*,0.3207207207207207,,29
Fe II,2510.6199364060058,z6D*,0.04684684684684685,,29
Fe II,2512.1262873869014,a4F,0.32066115702479336,,6
Fe II,2512.5233799288326,a4H,0.2045751633986928,,8
Fe II,2513.909703071991,z6D*,0.34864864864864864,,29
Fe II,2521.024362967161,z6D*,0.2063063063063063,,29
Fe II,2524.2011049321354,z6D*,0.10720720720720721,,29
Fe II,2526.1465595606833,a4H,0.30130718954248364,,8
Fe II,2526.679684177635,z6D*,1.0,,29
Fe II,2527.050770926718,b4P,0.07797797797797798,,19
Fe II,2527.591897438108,a4F,0.09586776859504133,,6
Fe II,2529.990458375722,b2H,0.4991304347826087,,14
Fe II,2530.3065323149617,b4F,0.02753846153846154,,17
Fe II,2530.86166218833,z6D*,0.5342342342342342,,29
Fe II,2534.3874874075645,a4H,0.24836601307189543,,8
Fe II,2537.6062412787464,a4H,0.28104575163398693,,8
Fe II,2537.903310881037,z6D*,0.309009009009009,,29
Fe II,2539.444672083727,z6D*,0.9819819819819819,,29
Fe II,2539.7557449942915,a4H,0.26437908496732027,,8
Fe II,2543.0835252604834,a4F,0.06297520661157024,,6
Fe II,2544.137772559546,a4H,0.19869281045751633,,8
Fe II,2550.918364356517,z6D*,0.10810810810810811,,29
Fe II,2563.3032773015198,a4D,0.14054054054054055,,5
Fe II,2564.247499670706,a4D,0.07683397683397683,,5
Fe II,2567.6803084534595,a4D,0.06332046332046332,,5
Fe II,2575.139067582218,b4P,0.08308308308308308,,19
Fe II,2578.6929066125354,a4D,0.06332046332046332,,5
Fe II,2579.8921898780213,z4P*,0.04136842105263158,,28
Fe II,2583.3600093153605,a4D,0.07297297297297298,,5
Fe II,2586.651787637992,a6D,0.3611940298507463,,10
Fe II,2592.3181285062306,a4D,0.1498069498069498,,5
Fe II,2593.5574219525383,a2I,0.9905149051490515,,3
Fe II,2594.507646996019,a4D,0.06254826254826255,,5
Fe II,2599.1457459943945,a6D,0.22268656716417912,,10
Fe II,2600.1729895226963,a6D,0.41194029850746267,,10
Fe II,2607.8698156108308,a6D,0.1582089552238806,,10
Fe II,2611.8517613000367,a4D,0.13590733590733592,,5
Fe II,2612.6559523699448,a6D,0.35522388059701493,,10
Fe II,2614.6064158957956,a6D,0.12208955223880597,,10
Fe II,2618.3983174816017,a6D,0.24328358208955222,,10
Fe II,2621.194982807476,a6D,0.1391044776119403,,10
Fe II,2622.453282259467,a6D,0.1271641791044776,,10
Fe II,2625.8420890488924,b4G,0.059133858267716534,,18
Fe II,2626.27319171651,a2I,0.7479674796747967,,3
Fe II,2626.451234119687,a6D,0.4835820895522388,,10
Fe II,2629.081860785692,a6D,0.1635820895522388,,10
Fe II,2631.831516100151,a6D,0.23402985074626867,,10
Fe II,2632.1095823872315,a6D,0.382089552238806,,10
Fe II,2632.388648915822,b4F,0.036923076923076927,,17
Fe II,2651.2751584533685,z4P*,0.06736842105263158,,28
Fe II,2670.7238163905186,c4P,0.09375,,22
Fe II,2681.8374843645693,c4P,0.15148026315789473,,22
Fe II,2693.4032655834753,b2G,0.06407035175879397,,13
Fe II,2693.633320952839,a4D,0.09884169884169884,,5
Fe II,2699.9948527704305,c4P,0.10526315789473684,,22
Fe II,2710.184309251249,a4D,0.07065637065637066,,5
Fe II,2711.3535913702567,c4P,0.1569078947368421,,22
Fe II,2712.64490298604,a4G,0.04592274678111588,,7
Fe II,2715.2155234895445,a4D,0.10501930501930502,,5
Fe II,2717.3690434841246,z2I*,1.0,,0
Fe II,2717.499074886852,a4D,0.10115830115830116,,5
Fe II,2718.325274428243,b4G,0.06393700787401575,,18
Fe II,2718.771382180473,z6P*,0.4056795131845842,,31
Fe II,2719.4455450294854,c4F,0.36065573770491804,,21
Fe II,2721.6950885335145,c4F,0.2022950819672131,,21
Fe II,2725.6920546425467,a4D,0.1274131274131274,,5
Fe II,2728.344696106832,a4D,0.0891891891891892,,5
Fe II,2728.7447928788006,z6P*,0.12961460446247464,,31
Fe II,2730.396192360953,c4F,0.31114754098360653,,21
Fe II,2731.543469946208,a4D,0.10926640926640926,,5
Fe II,2733.254884105283,a4F,0.9256198347107438,,6
Fe II,2733.755005151765,c4F,0.4459016393442623,,21
Fe II,2737.771977693199,a4D,0.06332046332046332,,5
Fe II,2739.2033243605424,b4G,0.13228346456692913,,18
Fe II,2740.356603729192,a4D,0.2166023166023166,,5
Fe II,2742.121031224593,c4F,0.43934426229508194,,21
Fe II,2744.009488881828,a4D,0.10926640926640926,,5
Fe II,2744.0364954275465,z6F*,0.0252970297029703,,30
Fe II,2746.9401993498595,z6F*,0.029504950495049503,,30
Fe II,2747.1632534342793,c4F,0.6,,21
Fe II,2747.296285691663,a4D,0.12162162162162163,,5
Fe II,2747.793406237415,a4D,0.1138996138996139,,5
Fe II,2747.9334401953874,z6F*,0.100990099009901,,30
Fe II,2749.990939207065,a4D,0.08725868725868725,,5
Fe II,2750.1319734174654,a4D,0.2277992277992278,,5
Fe II,2750.2950129664464,a4D,0.062162162162162166,,5
Fe II,2750.297013451715,c4F,0.29081967213114757,,21
Fe II,2752.96466067061,z6F*,0.07425742574257425,,30
